date,lastSyncTime,steps,distance,runDistance,calories
2017-03-24,1490537726,17162,12702,988,415
2017-03-25,1490537724,1161,750,0,33
2017-03-26,1491050335,4920,3611,98,129
2017-03-27,1491050335,10688,7634,2125,261
2017-03-28,1491050336,15290,11081,1339,375
2017-03-29,1491050337,22507,16126,4240,549
2017-03-30,1491050336,14097,9913,2044,333
2017-03-31,1491050335,12988,9305,906,318
2017-04-01,1491406424,7721,5889,372,204
2017-04-02,1491406425,3296,2286,37,86
2017-04-03,1491406428,18924,13724,2281,453
2017-04-04,1491406422,18336,13278,736,432
2017-04-05,1491662801,15375,11484,768,388
2017-04-06,1491662802,20230,15139,248,511
2017-04-07,1491662802,11657,8437,881,281
2017-04-08,1491757009,10972,7939,1403,276
2017-04-09,1492539626,37255,27868,421,894
2017-04-10,1492539627,24167,17392,2293,564
2017-04-11,1492539627,18940,14269,245,487
2017-04-12,1492539630,11702,8894,180,313
2017-04-13,1492539629,12548,9210,1243,312
2017-04-14,1492539630,13242,9695,1072,343
2017-04-15,1492539628,4238,2794,60,100
2017-04-16,1492539629,16954,11974,1041,392
2017-04-17,1492539628,10228,7153,1147,247
2017-04-18,1493067693,11196,7735,399,248
2017-04-19,1493067693,14413,9830,1572,319
2017-04-20,1493067692,6720,4643,702,171
2017-04-21,1493067691,16906,12227,2966,422
2017-04-22,1493067691,32210,23114,234,712
2017-04-23,1493067690,36537,26240,105,793
2017-04-24,1493143547,23665,17251,1190,559
2017-04-25,1493657030,443,286,0,11
2017-04-26,1493657030,22493,16505,3457,555
2017-04-27,1493657029,1154,755,0,28
2017-04-28,1493657029,22243,15974,2306,532
2017-04-29,1493657029,3299,2291,0,83
2017-04-30,1493657028,15212,10782,594,348
2017-05-01,1493657028,977,632,0,26
2017-05-02,0,0,0,0,0
2017-05-03,0,0,0,0,0
2017-05-04,1493936673,171,111,0,4
2017-05-05,1494047164,10750,7361,71,254
2017-05-06,1494170013,12307,8289,42,281
2017-05-07,1494272488,3169,2183,0,83
2017-05-08,1494450767,3887,2825,63,96
2017-05-09,1494450766,3766,2623,0,104
2017-05-10,1494450767,4578,3237,115,123
2017-05-11,1494616387,7143,4817,281,162
2017-05-12,1494867696,13748,10094,188,350
2017-05-13,1494867697,15947,10799,222,357
2017-05-14,1494867697,9360,7207,47,267
2017-05-15,1495052456,5966,4031,272,139
